question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10,Model
TEST_0210,0,complex,deadline,tax_law,0,0.0,0.0,1,1,0.4814293384552002,3,788,0.0,0.0,0.0,0.0,LaBSE
TEST_0056,1,moderate,definition,migration_law,0,0.3333333333333333,0.5,1,1,0.5580347776412964,0,32,0.0,1.0,1.0,1.0,LaBSE
TEST_0235,2,complex,deadline,civil_law,0,0.0,0.0,1,1,0.5107240676879883,307,413,0.0,0.0,0.0,0.0,LaBSE
TEST_0227,3,complex,deadline,civil_law,0,0.0,0.0,1,1,0.5081079006195068,13,273,0.0,0.0,0.0,0.0,LaBSE
TEST_0237,4,complex,definition,civil_law,0,0.0,0.0,1,1,0.5428978204727173,93,538,0.0,0.0,0.0,0.0,LaBSE
TEST_0057,5,moderate,definition,migration_law,0,0.0,0.0,1,1,0.6288719177246094,4,332,0.0,0.0,0.0,0.0,LaBSE
TEST_0142,6,moderate,deadline,family_law,0,0.0,0.0,1,1,0.5407174825668335,14,246,0.0,0.0,0.0,0.0,LaBSE
TEST_0137,7,complex,deadline,family_law,0,0.0,0.0,1,1,0.46585729718208313,206,253,0.0,0.0,0.0,0.0,LaBSE
TEST_0192,8,complex,definition,tax_law,0,0.0,0.0,0,0,0.4391659200191498,4,925,0.0,0.0,0.0,0.0,LaBSE
TEST_0130,9,complex,deadline,family_law,0,0.0,0.0,1,1,0.5174289345741272,242,245,0.0,0.0,0.0,0.0,LaBSE
TEST_0163,10,complex,deadline,civil_law,0,0.0,0.0,1,1,0.49314016103744507,986,1036,0.0,0.0,0.0,0.0,LaBSE
TEST_0176,11,moderate,definition,civil_law,0,0.0,0.0,0,0,0.5810184478759766,13,477,0.0,0.0,0.0,0.0,LaBSE
TEST_0185,12,complex,definition,civil_law,0,0.0,0.0,1,1,0.49908193945884705,169,334,0.0,0.0,0.0,0.0,LaBSE
TEST_0186,13,complex,definition,civil_law,0,0.0,0.0,1,1,0.49210381507873535,206,335,0.0,0.0,0.0,0.0,LaBSE
TEST_0082,14,complex,definition,tax_law,0,0.0,0.0,0,0,0.49016985297203064,326,644,0.0,0.0,0.0,0.0,LaBSE
TEST_0224,15,complex,deadline,civil_law,0,0.0,0.0,1,1,0.5327671766281128,276,424,0.0,0.0,0.0,0.0,LaBSE
TEST_0217,16,complex,deadline,civil_law,0,0.0,0.0,1,1,0.5679879188537598,1,733,0.0,0.0,0.0,0.0,LaBSE
TEST_0084,17,complex,deadline,tax_law,0,0.25,0.43067655807339306,1,1,0.516616702079773,127,981,0.0,0.0,1.0,1.0,LaBSE
TEST_0199,18,complex,definition,tax_law,0,0.0,0.0,1,1,0.5441398620605469,692,933,0.0,0.0,0.0,0.0,LaBSE
TEST_0240,19,simple,deadline,civil_law,0,0.0,0.0,1,1,0.5161445736885071,5,1041,0.0,0.0,0.0,0.0,LaBSE
TEST_0202,20,complex,definition,civil_law,0,0.0,0.0,0,0,0.6437598466873169,564,653,0.0,0.0,0.0,0.0,LaBSE
TEST_0101,21,simple,deadline,administrative_law,0,0.0,0.0,1,1,0.3910541534423828,10,220,0.0,0.0,0.0,0.0,LaBSE
TEST_0118,22,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.48175808787345886,14,360,0.0,0.0,0.0,0.0,LaBSE
TEST_0158,23,complex,deadline,civil_law,0,0.125,0.31546487678572877,1,1,0.506094217300415,306,380,0.0,0.0,0.0,1.0,LaBSE
TEST_0100,24,simple,definition,administrative_law,0,0.5,0.6309297535714575,1,1,0.5997869968414307,34,51,0.0,1.0,1.0,1.0,LaBSE
TEST_0011,25,moderate,deadline,labor_law,0,0.0,0.0,0,0,0.555493950843811,2,238,0.0,0.0,0.0,0.0,LaBSE
TEST_0010,26,moderate,deadline,labor_law,0,0.0,0.0,1,1,0.5717325806617737,73,72,0.0,0.0,0.0,0.0,LaBSE
TEST_0114,27,moderate,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.4995769262313843,8,486,0.0,0.0,1.0,1.0,LaBSE
TEST_0128,28,simple,definition,tax_law,0,0.2,0.38685280723454163,1,1,0.5270113348960876,5,1023,0.0,0.0,1.0,1.0,LaBSE
TEST_0113,29,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.6542220115661621,742,760,0.0,0.0,0.0,0.0,LaBSE
TEST_0126,30,simple,deadline,tax_law,1,1.0,1.0,1,1,0.5278310775756836,786,786,1.0,1.0,1.0,1.0,LaBSE
TEST_0125,31,simple,definition,tax_law,0,0.0,0.0,1,1,0.5017772316932678,452,481,0.0,0.0,0.0,0.0,LaBSE
TEST_0121,32,simple,deadline,tax_law,0,0.2,0.38685280723454163,1,1,0.5923815965652466,98,962,0.0,0.0,1.0,1.0,LaBSE
TEST_0127,33,simple,deadline,tax_law,0,0.0,0.0,0,0,0.5221527814865112,326,177,0.0,0.0,0.0,0.0,LaBSE
TEST_0008,34,moderate,deadline,labor_law,0,0.25,0.43067655807339306,1,1,0.4746115803718567,1,95,0.0,0.0,1.0,1.0,LaBSE
TEST_0007,35,moderate,deadline,labor_law,0,0.0,0.0,0,0,0.5045105218887329,15,115,0.0,0.0,0.0,0.0,LaBSE
TEST_0006,36,moderate,definition,labor_law,0,0.25,0.43067655807339306,1,1,0.522429347038269,65,52,0.0,0.0,1.0,1.0,LaBSE
TEST_0002,37,simple,deadline,migration_law,1,1.0,1.0,1,1,0.513852596282959,53,53,1.0,1.0,1.0,1.0,LaBSE
TEST_0015,38,simple,deadline,family_law,0,0.16666666666666666,0.3562071871080222,1,1,0.5885982513427734,0,64,0.0,0.0,0.0,1.0,LaBSE
TEST_0014,39,simple,definition,family_law,0,0.125,0.31546487678572877,1,1,0.5513750314712524,0,36,0.0,0.0,0.0,1.0,LaBSE
TEST_0013,40,simple,deadline,family_law,0,0.0,0.0,1,1,0.5429267883300781,367,308,0.0,0.0,0.0,0.0,LaBSE
TEST_0012,41,moderate,deadline,labor_law,0,0.0,0.0,1,1,0.46598345041275024,36,86,0.0,0.0,0.0,0.0,LaBSE
TEST_0032,42,moderate,deadline,other,1,1.0,1.0,1,1,0.6639248132705688,849,849,1.0,1.0,1.0,1.0,LaBSE
TEST_0009,43,moderate,deadline,labor_law,0,0.0,0.0,1,1,0.4789392352104187,120,80,0.0,0.0,0.0,0.0,LaBSE
TEST_0023,44,simple,deadline,other,0,0.0,0.0,0,0,0.5093166828155518,10,78,0.0,0.0,0.0,0.0,LaBSE
TEST_0022,45,simple,deadline,other,1,1.0,1.0,1,1,0.6305321455001831,34,34,1.0,1.0,1.0,1.0,LaBSE
TEST_0021,46,simple,deadline,family_law,0,0.0,0.0,1,1,0.5110191702842712,107,74,0.0,0.0,0.0,0.0,LaBSE
TEST_0020,47,simple,deadline,family_law,0,0.0,0.0,1,1,0.5907247066497803,64,55,0.0,0.0,0.0,0.0,LaBSE
TEST_0018,48,simple,deadline,family_law,0,0.3333333333333333,0.5,1,1,0.5012233257293701,1,44,0.0,1.0,1.0,1.0,LaBSE
TEST_0017,49,simple,deadline,family_law,0,0.0,0.0,0,0,0.6837965250015259,3,463,0.0,0.0,0.0,0.0,LaBSE
TEST_0028,50,simple,deadline,other,0,0.0,0.0,0,0,0.48701560497283936,12,441,0.0,0.0,0.0,0.0,LaBSE
TEST_0031,51,moderate,deadline,other,0,0.0,0.0,1,1,0.5610337257385254,11,75,0.0,0.0,0.0,0.0,LaBSE
TEST_0030,52,moderate,deadline,other,0,0.3333333333333333,0.5,1,1,0.6588335037231445,51,507,0.0,1.0,1.0,1.0,LaBSE
TEST_0029,53,moderate,definition,other,0,0.0,0.0,1,1,0.4997461438179016,17,373,0.0,0.0,0.0,0.0,LaBSE
TEST_0026,54,simple,deadline,other,0,0.25,0.43067655807339306,1,1,0.4819422662258148,29,103,0.0,0.0,1.0,1.0,LaBSE
TEST_0027,55,simple,deadline,other,0,0.0,0.0,0,0,0.4689127802848816,188,94,0.0,0.0,0.0,0.0,LaBSE
TEST_0025,56,simple,deadline,other,0,0.5,0.6309297535714575,1,1,0.5684870481491089,20,82,0.0,1.0,1.0,1.0,LaBSE
TEST_0129,57,complex,deadline,family_law,0,0.3333333333333333,0.5,1,1,0.533940315246582,13,108,0.0,1.0,1.0,1.0,LaBSE
TEST_0143,58,moderate,deadline,family_law,1,1.0,1.0,1,1,0.5217225551605225,590,590,1.0,1.0,1.0,1.0,LaBSE
TEST_0141,59,moderate,deadline,family_law,0,0.0,0.0,0,0,0.5387908816337585,8,298,0.0,0.0,0.0,0.0,LaBSE
TEST_0140,60,moderate,deadline,family_law,0,0.0,0.0,0,0,0.5692765712738037,14,328,0.0,0.0,0.0,0.0,LaBSE
TEST_0139,61,moderate,deadline,family_law,0,0.14285714285714285,0.6487982101190621,1,1,0.6106056571006775,1,63,0.0,0.0,0.0,1.0,LaBSE
TEST_0152,62,complex,definition,civil_law,0,0.0,0.0,0,0,0.5497526526451111,38,963,0.0,0.0,0.0,0.0,LaBSE
TEST_0151,63,complex,deadline,civil_law,0,0.0,0.0,0,0,0.5492093563079834,3,386,0.0,0.0,0.0,0.0,LaBSE
TEST_0149,64,complex,deadline,civil_law,0,0.2,0.38685280723454163,1,1,0.49630817770957947,70,560,0.0,0.0,1.0,1.0,LaBSE
TEST_0148,65,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.5497633814811707,987,986,0.0,1.0,1.0,1.0,LaBSE
TEST_0146,66,moderate,deadline,family_law,0,0.0,0.0,0,0,0.5056090354919434,3,471,0.0,0.0,0.0,0.0,LaBSE
TEST_0145,67,moderate,deadline,family_law,0,0.0,0.0,1,1,0.5193960666656494,144,620,0.0,0.0,0.0,0.0,LaBSE
TEST_0160,68,simple,deadline,civil_law,0,0.14285714285714285,0.3333333333333333,1,1,0.5529682040214539,119,353,0.0,0.0,0.0,1.0,LaBSE
TEST_0157,69,complex,definition,social_law,0,0.0,0.0,1,1,0.5515618324279785,240,1044,0.0,0.0,0.0,0.0,LaBSE
TEST_0156,70,complex,deadline,civil_law,0,0.3333333333333333,0.5,1,1,0.5022512674331665,8,999,0.0,1.0,1.0,1.0,LaBSE
TEST_0155,71,complex,deadline,civil_law,0,0.0,0.0,1,1,0.5165572166442871,4,994,0.0,0.0,0.0,0.0,LaBSE
TEST_0154,72,complex,deadline,civil_law,0,0.1,0.2890648263178879,1,1,0.5597740411758423,14,290,0.0,0.0,0.0,1.0,LaBSE
TEST_0153,73,complex,deadline,civil_law,0,0.0,0.0,0,0,0.37178540229797363,8,93,0.0,0.0,0.0,0.0,LaBSE
TEST_0104,74,moderate,definition,tax_law,0,0.0,0.0,1,1,0.5447095036506653,542,710,0.0,0.0,0.0,0.0,LaBSE
TEST_0103,75,moderate,deadline,tax_law,0,0.0,0.0,0,0,0.5299013257026672,131,24,0.0,0.0,0.0,0.0,LaBSE
TEST_0102,76,moderate,definition,tax_law,0,0.0,0.0,0,0,0.4284011125564575,26,766,0.0,0.0,0.0,0.0,LaBSE
TEST_0099,77,simple,deadline,administrative_law,0,0.0,0.0,1,1,0.45657894015312195,140,225,0.0,0.0,0.0,0.0,LaBSE
TEST_0098,78,simple,deadline,administrative_law,0,0.0,0.0,1,1,0.5022982954978943,0,57,0.0,0.0,0.0,0.0,LaBSE
TEST_0112,79,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.5624169111251831,271,270,0.0,0.0,0.0,0.0,LaBSE
