question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10
TEST_0210,0,complex,deadline,tax_law,0,0.0,0.0,1,1,0.6614426374435425,784,788,0.0,0.0,0.0,0.0
TEST_0056,1,moderate,definition,migration_law,1,1.0,1.0,1,1,0.7649860382080078,32,32,1.0,1.0,1.0,1.0
TEST_0235,2,complex,deadline,civil_law,0,0.14285714285714285,0.3333333333333333,1,1,0.6986908316612244,43,413,0.0,0.0,0.0,1.0
TEST_0227,3,complex,deadline,civil_law,0,0.14285714285714285,0.3333333333333333,1,1,0.6364880800247192,195,273,0.0,0.0,0.0,1.0
TEST_0237,4,complex,definition,civil_law,0,0.0,0.0,1,1,0.7705183029174805,105,538,0.0,0.0,0.0,0.0
TEST_0057,5,moderate,definition,migration_law,0,0.14285714285714285,0.3333333333333333,1,1,0.7408843040466309,12,332,0.0,0.0,0.0,1.0
TEST_0142,6,moderate,deadline,family_law,0,0.0,0.0,1,1,0.7504016160964966,433,246,0.0,0.0,0.0,0.0
TEST_0137,7,complex,deadline,family_law,1,1.0,1.0,1,1,0.6773379445075989,253,253,1.0,1.0,1.0,1.0
TEST_0192,8,complex,definition,tax_law,0,0.0,0.0,1,1,0.6473261713981628,413,925,0.0,0.0,0.0,0.0
TEST_0130,9,complex,deadline,family_law,1,1.0,1.0,1,1,0.8086744546890259,245,245,1.0,1.0,1.0,1.0
TEST_0163,10,complex,deadline,civil_law,1,1.0,1.0,1,1,0.7110763788223267,1036,1036,1.0,1.0,1.0,1.0
TEST_0176,11,moderate,definition,civil_law,1,1.0,1.0,1,1,0.8637199401855469,477,477,1.0,1.0,1.0,1.0
TEST_0185,12,complex,definition,civil_law,1,1.0,1.0,1,1,0.7108856439590454,334,334,1.0,1.0,1.0,1.0
TEST_0186,13,complex,definition,civil_law,1,1.0,1.0,1,1,0.717047929763794,335,335,1.0,1.0,1.0,1.0
TEST_0082,14,complex,definition,tax_law,0,0.2,0.38685280723454163,1,1,0.7776927351951599,648,644,0.0,0.0,1.0,1.0
TEST_0224,15,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7718256711959839,204,424,0.0,0.0,0.0,0.0
TEST_0217,16,complex,deadline,civil_law,0,0.0,0.0,1,1,0.6676198244094849,9,733,0.0,0.0,0.0,0.0
TEST_0084,17,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.7366288900375366,9,981,0.0,1.0,1.0,1.0
TEST_0199,18,complex,definition,tax_law,0,0.16666666666666666,0.3562071871080222,1,1,0.7889549136161804,189,933,0.0,0.0,0.0,1.0
TEST_0240,19,simple,deadline,civil_law,0,0.0,0.0,1,1,0.6775835156440735,607,1041,0.0,0.0,0.0,0.0
TEST_0202,20,complex,definition,civil_law,1,1.0,1.0,1,1,0.8322266936302185,653,653,1.0,1.0,1.0,1.0
TEST_0101,21,simple,deadline,administrative_law,0,0.0,0.0,1,1,0.6751322746276855,212,220,0.0,0.0,0.0,0.0
TEST_0118,22,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.7067781686782837,359,360,0.0,0.0,0.0,0.0
TEST_0158,23,complex,deadline,civil_law,1,1.0,1.0,1,1,0.8070103526115417,380,380,1.0,1.0,1.0,1.0
TEST_0100,24,simple,definition,administrative_law,0,0.0,0.0,1,1,0.7459317445755005,25,51,0.0,0.0,0.0,0.0
TEST_0011,25,moderate,deadline,labor_law,0,0.0,0.0,0,0,0.656714916229248,379,238,0.0,0.0,0.0,0.0
TEST_0010,26,moderate,deadline,labor_law,0,0.0,0.0,1,1,0.6413455009460449,0,72,0.0,0.0,0.0,0.0
TEST_0114,27,moderate,deadline,civil_law,0,0.0,0.0,0,0,0.6869847178459167,111,486,0.0,0.0,0.0,0.0
TEST_0128,28,simple,definition,tax_law,1,1.0,1.0,1,1,0.761367917060852,1023,1023,1.0,1.0,1.0,1.0
TEST_0113,29,moderate,deadline,civil_law,0,0.16666666666666666,0.3562071871080222,1,1,0.7009679079055786,281,760,0.0,0.0,0.0,1.0
TEST_0126,30,simple,deadline,tax_law,1,1.0,1.0,1,1,0.7312599420547485,786,786,1.0,1.0,1.0,1.0
TEST_0125,31,simple,definition,tax_law,1,1.0,1.0,1,1,0.8022836446762085,481,481,1.0,1.0,1.0,1.0
TEST_0121,32,simple,deadline,tax_law,0,0.1111111111111111,0.3010299956639812,1,1,0.8067302703857422,52,962,0.0,0.0,0.0,1.0
TEST_0127,33,simple,deadline,tax_law,0,0.5,0.6309297535714575,0,0,0.6802500486373901,154,177,0.0,1.0,1.0,1.0
TEST_0008,34,moderate,deadline,labor_law,0,0.0,0.0,1,1,0.6493397355079651,94,95,0.0,0.0,0.0,0.0
TEST_0007,35,moderate,deadline,labor_law,0,0.14285714285714285,0.3333333333333333,1,1,0.6792426705360413,29,115,0.0,0.0,0.0,1.0
TEST_0006,36,moderate,definition,labor_law,0,0.1,0.2890648263178879,1,1,0.533356785774231,3,52,0.0,0.0,0.0,1.0
TEST_0002,37,simple,deadline,migration_law,1,1.0,1.0,1,1,0.7326492667198181,53,53,1.0,1.0,1.0,1.0
TEST_0015,38,simple,deadline,family_law,0,0.0,0.0,0,0,0.8225431442260742,1,64,0.0,0.0,0.0,0.0
TEST_0014,39,simple,definition,family_law,0,0.0,0.0,1,1,0.6100610494613647,263,36,0.0,0.0,0.0,0.0
