question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10,Model
TEST_0210,0,complex,deadline,tax_law,0,0.25,0.43067655807339306,1,1,0.8439537286758423,241,788,0.0,0.0,1.0,1.0,E5-Large
TEST_0056,1,moderate,definition,migration_law,0,0.3333333333333333,0.5,1,1,0.8616782426834106,28,32,0.0,1.0,1.0,1.0,E5-Large
TEST_0235,2,complex,deadline,civil_law,0,0.3333333333333333,0.5,1,1,0.8701720833778381,279,413,0.0,1.0,1.0,1.0,E5-Large
TEST_0227,3,complex,deadline,civil_law,0,0.3333333333333333,0.5,1,1,0.8591035008430481,195,273,0.0,1.0,1.0,1.0,E5-Large
TEST_0237,4,complex,definition,civil_law,0,0.0,0.0,1,1,0.8876092433929443,105,538,0.0,0.0,0.0,0.0,E5-Large
TEST_0057,5,moderate,definition,migration_law,0,0.5,0.6309297535714575,1,1,0.8534775376319885,285,332,0.0,1.0,1.0,1.0,E5-Large
TEST_0142,6,moderate,deadline,family_law,1,1.0,1.0,1,1,0.8599375486373901,246,246,1.0,1.0,1.0,1.0,E5-Large
TEST_0137,7,complex,deadline,family_law,1,1.0,1.0,1,1,0.8652178049087524,253,253,1.0,1.0,1.0,1.0,E5-Large
TEST_0192,8,complex,definition,tax_law,0,0.5,0.6309297535714575,1,1,0.8395614624023438,413,925,0.0,1.0,1.0,1.0,E5-Large
TEST_0130,9,complex,deadline,family_law,0,0.0,0.0,1,1,0.8516312837600708,35,245,0.0,0.0,0.0,0.0,E5-Large
TEST_0163,10,complex,deadline,civil_law,1,1.0,1.0,1,1,0.8611399531364441,1036,1036,1.0,1.0,1.0,1.0,E5-Large
TEST_0176,11,moderate,definition,civil_law,1,1.0,1.0,1,1,0.8611406087875366,477,477,1.0,1.0,1.0,1.0,E5-Large
TEST_0185,12,complex,definition,civil_law,1,1.0,1.0,1,1,0.869015097618103,334,334,1.0,1.0,1.0,1.0,E5-Large
TEST_0186,13,complex,definition,civil_law,1,1.0,1.0,1,1,0.8639050126075745,335,335,1.0,1.0,1.0,1.0,E5-Large
TEST_0082,14,complex,definition,tax_law,1,1.0,1.0,1,1,0.8726760745048523,644,644,1.0,1.0,1.0,1.0,E5-Large
TEST_0224,15,complex,deadline,civil_law,0,0.0,0.0,1,1,0.8588399887084961,502,424,0.0,0.0,0.0,0.0,E5-Large
TEST_0217,16,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.8519499897956848,1,733,0.0,0.0,1.0,1.0,E5-Large
TEST_0084,17,complex,deadline,tax_law,1,1.0,1.0,1,1,0.8801600933074951,981,981,1.0,1.0,1.0,1.0,E5-Large
TEST_0199,18,complex,definition,tax_law,0,0.5,0.6309297535714575,1,1,0.8771389722824097,188,933,0.0,1.0,1.0,1.0,E5-Large
TEST_0240,19,simple,deadline,civil_law,1,1.0,1.0,1,1,0.860129177570343,1041,1041,1.0,1.0,1.0,1.0,E5-Large
TEST_0202,20,complex,definition,civil_law,1,1.0,1.0,1,1,0.8600847721099854,653,653,1.0,1.0,1.0,1.0,E5-Large
TEST_0101,21,simple,deadline,administrative_law,0,0.0,0.0,1,0,0.827139139175415,98,220,0.0,0.0,0.0,0.0,E5-Large
TEST_0118,22,moderate,deadline,civil_law,1,1.0,1.0,1,1,0.8604391813278198,360,360,1.0,1.0,1.0,1.0,E5-Large
TEST_0158,23,complex,deadline,civil_law,1,1.0,1.0,1,1,0.8466825485229492,380,380,1.0,1.0,1.0,1.0,E5-Large
TEST_0100,24,simple,definition,administrative_law,0,0.16666666666666666,0.3562071871080222,1,1,0.8514987826347351,34,51,0.0,0.0,0.0,1.0,E5-Large
TEST_0011,25,moderate,deadline,labor_law,0,0.0,0.0,0,0,0.8281542062759399,14,238,0.0,0.0,0.0,0.0,E5-Large
TEST_0010,26,moderate,deadline,labor_law,0,0.0,0.0,1,1,0.8407993316650391,125,72,0.0,0.0,0.0,0.0,E5-Large
TEST_0114,27,moderate,deadline,civil_law,0,0.0,0.0,0,0,0.8402612209320068,2,486,0.0,0.0,0.0,0.0,E5-Large
TEST_0128,28,simple,definition,tax_law,1,1.0,1.0,1,1,0.8802316784858704,1023,1023,1.0,1.0,1.0,1.0,E5-Large
TEST_0113,29,moderate,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.850479245185852,118,760,0.0,1.0,1.0,1.0,E5-Large
TEST_0126,30,simple,deadline,tax_law,0,0.1111111111111111,0.3010299956639812,1,1,0.8561367988586426,12,786,0.0,0.0,0.0,1.0,E5-Large
TEST_0125,31,simple,definition,tax_law,1,1.0,1.0,1,1,0.8757638931274414,481,481,1.0,1.0,1.0,1.0,E5-Large
TEST_0121,32,simple,deadline,tax_law,0,0.125,0.31546487678572877,1,1,0.8520980477333069,958,962,0.0,0.0,0.0,1.0,E5-Large
TEST_0127,33,simple,deadline,tax_law,0,0.0,0.0,0,0,0.84895920753479,1,177,0.0,0.0,0.0,0.0,E5-Large
TEST_0008,34,moderate,deadline,labor_law,0,0.1,0.2890648263178879,1,1,0.8520742654800415,56,95,0.0,0.0,0.0,1.0,E5-Large
TEST_0007,35,moderate,deadline,labor_law,0,0.0,0.0,0,0,0.815315306186676,2,115,0.0,0.0,0.0,0.0,E5-Large
TEST_0006,36,moderate,definition,labor_law,1,1.0,1.0,1,1,0.8591596484184265,52,52,1.0,1.0,1.0,1.0,E5-Large
TEST_0002,37,simple,deadline,migration_law,1,1.0,1.0,1,1,0.8483506441116333,53,53,1.0,1.0,1.0,1.0,E5-Large
TEST_0015,38,simple,deadline,family_law,0,0.3333333333333333,0.5,0,0,0.8848882913589478,1,64,0.0,1.0,1.0,1.0,E5-Large
TEST_0014,39,simple,definition,family_law,1,1.0,1.0,1,1,0.8298003673553467,36,36,1.0,1.0,1.0,1.0,E5-Large
TEST_0013,40,simple,deadline,family_law,0,0.0,0.0,1,1,0.8644001483917236,367,308,0.0,0.0,0.0,0.0,E5-Large
TEST_0012,41,moderate,deadline,labor_law,0,0.3333333333333333,0.5,1,1,0.8593630194664001,9,86,0.0,1.0,1.0,1.0,E5-Large
TEST_0032,42,moderate,deadline,other,1,1.0,1.0,1,1,0.8565514087677002,849,849,1.0,1.0,1.0,1.0,E5-Large
TEST_0009,43,moderate,deadline,labor_law,0,0.14285714285714285,0.3333333333333333,1,1,0.8564661741256714,81,80,0.0,0.0,0.0,1.0,E5-Large
TEST_0023,44,simple,deadline,other,0,0.16666666666666666,0.3562071871080222,1,1,0.8459281921386719,21,78,0.0,0.0,0.0,1.0,E5-Large
TEST_0022,45,simple,deadline,other,1,1.0,1.0,1,1,0.8709160089492798,34,34,1.0,1.0,1.0,1.0,E5-Large
TEST_0021,46,simple,deadline,family_law,0,0.0,0.0,1,1,0.8544111847877502,46,74,0.0,0.0,0.0,0.0,E5-Large
TEST_0020,47,simple,deadline,family_law,0,0.0,0.0,1,1,0.8301529288291931,70,55,0.0,0.0,0.0,0.0,E5-Large
TEST_0018,48,simple,deadline,family_law,1,1.0,1.0,1,1,0.8565120100975037,44,44,1.0,1.0,1.0,1.0,E5-Large
TEST_0017,49,simple,deadline,family_law,0,0.0,0.0,0,0,0.8687893152236938,7,463,0.0,0.0,0.0,0.0,E5-Large
TEST_0028,50,simple,deadline,other,0,0.0,0.0,0,0,0.8429450392723083,97,441,0.0,0.0,0.0,0.0,E5-Large
TEST_0031,51,moderate,deadline,other,0,0.0,0.0,1,1,0.8268942832946777,67,75,0.0,0.0,0.0,0.0,E5-Large
TEST_0030,52,moderate,deadline,other,0,0.0,0.0,0,0,0.8503782153129578,51,507,0.0,0.0,0.0,0.0,E5-Large
TEST_0029,53,moderate,definition,other,0,0.3333333333333333,0.5,1,1,0.8525984883308411,371,373,0.0,1.0,1.0,1.0,E5-Large
TEST_0026,54,simple,deadline,other,1,1.0,1.0,1,1,0.8495588302612305,103,103,1.0,1.0,1.0,1.0,E5-Large
TEST_0027,55,simple,deadline,other,1,1.0,1.0,1,1,0.8644840717315674,94,94,1.0,1.0,1.0,1.0,E5-Large
TEST_0025,56,simple,deadline,other,1,1.0,1.0,1,1,0.8539552688598633,82,82,1.0,1.0,1.0,1.0,E5-Large
TEST_0129,57,complex,deadline,family_law,0,0.0,0.0,1,1,0.8345113396644592,85,108,0.0,0.0,0.0,0.0,E5-Large
TEST_0143,58,moderate,deadline,family_law,1,1.0,1.0,1,1,0.8716362714767456,590,590,1.0,1.0,1.0,1.0,E5-Large
TEST_0141,59,moderate,deadline,family_law,0,0.5,0.6309297535714575,1,1,0.835724413394928,19,298,0.0,1.0,1.0,1.0,E5-Large
TEST_0140,60,moderate,deadline,family_law,0,0.0,0.0,0,0,0.8537755012512207,0,328,0.0,0.0,0.0,0.0,E5-Large
TEST_0139,61,moderate,deadline,family_law,0,0.16666666666666666,0.3562071871080222,1,1,0.876213014125824,1,63,0.0,0.0,0.0,1.0,E5-Large
TEST_0152,62,complex,definition,civil_law,0,0.0,0.0,0,0,0.8473294973373413,1,963,0.0,0.0,0.0,0.0,E5-Large
TEST_0151,63,complex,deadline,civil_law,0,0.0,0.0,0,0,0.8372945189476013,16,386,0.0,0.0,0.0,0.0,E5-Large
TEST_0149,64,complex,deadline,civil_law,0,0.0,0.0,1,0,0.8354880213737488,70,560,0.0,0.0,0.0,0.0,E5-Large
TEST_0148,65,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.8688287138938904,987,986,0.0,0.0,1.0,1.0,E5-Large
TEST_0146,66,moderate,deadline,family_law,0,0.0,0.0,0,0,0.84527587890625,773,471,0.0,0.0,0.0,0.0,E5-Large
TEST_0145,67,moderate,deadline,family_law,0,0.5,0.6309297535714575,1,1,0.857172966003418,60,620,0.0,1.0,1.0,1.0,E5-Large
TEST_0160,68,simple,deadline,civil_law,1,1.0,1.0,1,1,0.8469702005386353,353,353,1.0,1.0,1.0,1.0,E5-Large
TEST_0157,69,complex,definition,social_law,1,1.0,1.0,1,1,0.862923264503479,1044,1044,1.0,1.0,1.0,1.0,E5-Large
TEST_0156,70,complex,deadline,civil_law,0,0.0,0.0,1,1,0.8333498239517212,3,999,0.0,0.0,0.0,0.0,E5-Large
TEST_0155,71,complex,deadline,civil_law,1,1.0,1.0,1,1,0.8592928051948547,994,994,1.0,1.0,1.0,1.0,E5-Large
TEST_0154,72,complex,deadline,civil_law,1,1.0,1.0,1,1,0.8670850992202759,290,290,1.0,1.0,1.0,1.0,E5-Large
TEST_0153,73,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.824418306350708,61,93,0.0,1.0,1.0,1.0,E5-Large
TEST_0104,74,moderate,definition,tax_law,1,1.0,1.0,1,1,0.8740381002426147,710,710,1.0,1.0,1.0,1.0,E5-Large
TEST_0103,75,moderate,deadline,tax_law,0,0.0,0.0,0,0,0.8569320440292358,270,24,0.0,0.0,0.0,0.0,E5-Large
TEST_0102,76,moderate,definition,tax_law,0,0.0,0.0,0,0,0.8407269716262817,36,766,0.0,0.0,0.0,0.0,E5-Large
TEST_0099,77,simple,deadline,administrative_law,0,0.0,0.0,1,1,0.8452019691467285,98,225,0.0,0.0,0.0,0.0,E5-Large
TEST_0098,78,simple,deadline,administrative_law,1,1.0,1.3010299956639813,1,1,0.8670440912246704,57,57,1.0,1.0,1.0,1.0,E5-Large
TEST_0112,79,moderate,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.8628727793693542,269,270,0.0,0.0,1.0,1.0,E5-Large
TEST_0111,80,moderate,definition,civil_law,0,0.25,0.43067655807339306,1,1,0.8753805160522461,65,126,0.0,0.0,1.0,1.0,E5-Large
TEST_0110,81,moderate,definition,tax_law,1,1.0,1.0,1,1,0.8786700963973999,357,357,1.0,1.0,1.0,1.0,E5-Large
TEST_0109,82,moderate,deadline,tax_law,0,0.16666666666666666,0.3562071871080222,1,1,0.8426758050918579,68,1002,0.0,0.0,0.0,1.0,E5-Large
TEST_0108,83,moderate,deadline,tax_law,0,0.0,0.0,1,1,0.8766872882843018,681,639,0.0,0.0,0.0,0.0,E5-Large
TEST_0107,84,moderate,fact_lookup,tax_law,0,0.0,0.0,1,1,0.8404938578605652,305,753,0.0,0.0,0.0,0.0,E5-Large
TEST_0106,85,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.8663004040718079,683,683,1.0,1.0,1.0,1.0,E5-Large
TEST_0105,86,moderate,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.8604890704154968,722,768,0.0,1.0,1.0,1.0,E5-Large
TEST_0119,87,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.8784072399139404,22,537,0.0,0.0,0.0,0.0,E5-Large
TEST_0116,88,moderate,deadline,civil_law,0,0.1,0.2890648263178879,1,1,0.8332986831665039,58,109,0.0,0.0,0.0,1.0,E5-Large
TEST_0115,89,moderate,deadline,civil_law,0,0.125,0.31546487678572877,1,1,0.8662901520729065,672,671,0.0,0.0,0.0,1.0,E5-Large
TEST_0184,90,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.8660896420478821,707,954,0.0,1.0,1.0,1.0,E5-Large
TEST_0131,91,complex,deadline,family_law,1,1.0,1.0,1,1,0.8553940653800964,306,306,1.0,1.0,1.0,1.0,E5-Large
TEST_0132,92,complex,deadline,family_law,0,0.5,0.6309297535714575,1,1,0.8811055421829224,803,846,0.0,1.0,1.0,1.0,E5-Large
TEST_0133,93,complex,deadline,family_law,1,1.0,1.0,1,1,0.8528729677200317,845,845,1.0,1.0,1.0,1.0,E5-Large
TEST_0135,94,complex,deadline,family_law,0,0.2,0.38685280723454163,1,1,0.8658044934272766,368,364,0.0,0.0,1.0,1.0,E5-Large
TEST_0136,95,complex,definition,family_law,1,1.0,1.0,1,1,0.8891245126724243,478,478,1.0,1.0,1.0,1.0,E5-Large
TEST_0188,96,moderate,deadline,other,1,1.0,1.0,1,1,0.8539392948150635,873,873,1.0,1.0,1.0,1.0,E5-Large
TEST_0189,97,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.8653730154037476,817,857,0.0,1.0,1.0,1.0,E5-Large
TEST_0190,98,complex,definition,civil_law,0,0.2,0.38685280723454163,1,1,0.8646571040153503,1010,1003,0.0,0.0,1.0,1.0,E5-Large
TEST_0191,99,moderate,deadline,tax_law,1,1.0,1.0,1,1,0.8645528554916382,950,950,1.0,1.0,1.0,1.0,E5-Large
TEST_0177,100,complex,deadline,tax_law,1,1.0,1.0,1,1,0.8626725673675537,713,713,1.0,1.0,1.0,1.0,E5-Large
TEST_0178,101,complex,deadline,civil_law,1,1.0,1.0,1,1,0.8649051189422607,255,255,1.0,1.0,1.0,1.0,E5-Large
TEST_0180,102,complex,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.843663215637207,36,799,0.0,1.0,1.0,1.0,E5-Large
TEST_0181,103,complex,deadline,civil_law,1,1.0,1.0,1,1,0.8558763265609741,511,511,1.0,1.0,1.0,1.0,E5-Large
TEST_0182,104,complex,deadline,civil_law,0,0.0,0.0,0,0,0.8523374199867249,8,104,0.0,0.0,0.0,0.0,E5-Large
TEST_0183,105,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.8345113396644592,85,79,0.0,0.0,0.0,0.0,E5-Large
TEST_0162,106,complex,definition,tax_law,0,0.0,0.0,1,1,0.8355090022087097,27,720,0.0,0.0,0.0,0.0,E5-Large
TEST_0169,107,moderate,definition,civil_law,1,1.0,1.0,1,1,0.8806083798408508,359,359,1.0,1.0,1.0,1.0,E5-Large
TEST_0170,108,moderate,deadline,other,0,0.0,0.0,0,0,0.8552905321121216,174,621,0.0,0.0,0.0,0.0,E5-Large
TEST_0171,109,moderate,definition,tax_law,1,1.0,1.0,1,1,0.8704689145088196,1050,1050,1.0,1.0,1.0,1.0,E5-Large
TEST_0172,110,complex,deadline,civil_law,0,0.0,0.0,1,1,0.8613177537918091,232,395,0.0,0.0,0.0,0.0,E5-Large
TEST_0173,111,complex,definition,tax_law,1,1.0,1.0,1,1,0.8665438890457153,974,974,1.0,1.0,1.0,1.0,E5-Large
TEST_0174,112,simple,definition,tax_law,1,1.0,1.0,1,1,0.8891353011131287,618,618,1.0,1.0,1.0,1.0,E5-Large
TEST_0161,113,simple,fact_lookup,civil_law,0,0.0,0.0,1,1,0.8324160575866699,183,429,0.0,0.0,0.0,0.0,E5-Large
TEST_0167,114,moderate,deadline,civil_law,0,0.1,0.2890648263178879,1,1,0.8621207475662231,586,583,0.0,0.0,0.0,1.0,E5-Large
TEST_0164,115,moderate,deadline,family_law,0,0.0,0.0,1,1,0.844801127910614,30,321,0.0,0.0,0.0,0.0,E5-Large
TEST_0165,116,simple,deadline,civil_law,1,1.0,1.0,1,1,0.8901808261871338,432,432,1.0,1.0,1.0,1.0,E5-Large
TEST_0166,117,complex,deadline,civil_law,0,0.0,0.0,1,0,0.8276174068450928,145,609,0.0,0.0,0.0,0.0,E5-Large
TEST_0094,118,simple,deadline,labor_law,1,1.0,1.0,1,1,0.8309038281440735,87,87,1.0,1.0,1.0,1.0,E5-Large
TEST_0093,119,simple,deadline,labor_law,0,0.0,0.0,0,0,0.8189535140991211,80,99,0.0,0.0,0.0,0.0,E5-Large
TEST_0095,120,simple,deadline,labor_law,0,0.3333333333333333,0.5,1,1,0.8589628338813782,81,73,0.0,1.0,1.0,1.0,E5-Large
TEST_0193,121,moderate,deadline,civil_law,1,1.0,1.0,1,1,0.8331226110458374,56,56,1.0,1.0,1.0,1.0,E5-Large
TEST_0208,122,moderate,fact_lookup,civil_law,0,0.0,0.0,1,1,0.8656817674636841,349,900,0.0,0.0,0.0,0.0,E5-Large
TEST_0206,123,moderate,deadline,civil_law,0,0.0,0.0,1,1,0.8352009654045105,0,556,0.0,0.0,0.0,0.0,E5-Large
TEST_0205,124,complex,definition,tax_law,0,0.5,0.6309297535714575,1,1,0.8780330419540405,618,1033,0.0,1.0,1.0,1.0,E5-Large
TEST_0204,125,complex,deadline,tax_law,0,0.2,0.38685280723454163,1,1,0.8504648208618164,6,712,0.0,0.0,1.0,1.0,E5-Large
TEST_0203,126,simple,deadline,civil_law,0,0.5,0.6309297535714575,1,1,0.8392103910446167,543,337,0.0,1.0,1.0,1.0,E5-Large
TEST_0201,127,moderate,deadline,tax_law,0,0.0,0.0,1,1,0.8477805852890015,159,252,0.0,0.0,0.0,0.0,E5-Large
TEST_0216,128,moderate,deadline,tax_law,0,0.5,0.6309297535714575,1,1,0.8742719888687134,722,774,0.0,1.0,1.0,1.0,E5-Large
TEST_0214,129,complex,definition,tax_law,0,0.0,0.0,1,1,0.8541415929794312,129,830,0.0,0.0,0.0,0.0,E5-Large
TEST_0213,130,complex,deadline,civil_law,1,1.0,1.0,1,1,0.8299901485443115,584,584,1.0,1.0,1.0,1.0,E5-Large
TEST_0212,131,complex,definition,civil_law,0,0.5,0.6309297535714575,1,1,0.8461720943450928,669,755,0.0,1.0,1.0,1.0,E5-Large
TEST_0211,132,complex,deadline,civil_law,0,0.0,0.0,1,1,0.8624690771102905,11,889,0.0,0.0,0.0,0.0,E5-Large
TEST_0209,133,simple,definition,civil_law,1,1.0,1.0,1,1,0.8587884306907654,571,571,1.0,1.0,1.0,1.0,E5-Large
TEST_0223,134,complex,deadline,civil_law,0,0.2,0.38685280723454163,1,1,0.8604472875595093,279,287,0.0,0.0,1.0,1.0,E5-Large
TEST_0222,135,complex,deadline,tax_law,0,0.0,0.0,1,1,0.8526391386985779,159,1001,0.0,0.0,0.0,0.0,E5-Large
TEST_0220,136,simple,definition,civil_law,0,0.0,0.0,1,1,0.8792020082473755,9,232,0.0,0.0,0.0,0.0,E5-Large
TEST_0219,137,complex,definition,civil_law,0,0.5,0.6309297535714575,1,1,0.8501290082931519,323,829,0.0,1.0,1.0,1.0,E5-Large
