question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10,Model
TEST_0210,0,complex,deadline,tax_law,0,0.25,0.43067655807339306,1,1,0.6813449859619141,783,788,0.0,0.0,1.0,1.0,BGE-M3
TEST_0056,1,moderate,definition,migration_law,1,1.0,1.0,1,1,0.7010253071784973,32,32,1.0,1.0,1.0,1.0,BGE-M3
TEST_0235,2,complex,deadline,civil_law,1,1.0,1.0,1,1,0.7438056468963623,413,413,1.0,1.0,1.0,1.0,BGE-M3
TEST_0227,3,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,0.735244631767273,73,273,0.0,0.0,1.0,1.0,BGE-M3
TEST_0237,4,complex,definition,civil_law,0,0.2,0.38685280723454163,1,1,0.7695857286453247,569,538,0.0,0.0,1.0,1.0,BGE-M3
TEST_0057,5,moderate,definition,migration_law,0,0.25,0.43067655807339306,1,1,0.5953232645988464,12,332,0.0,0.0,1.0,1.0,BGE-M3
TEST_0142,6,moderate,deadline,family_law,1,1.0,1.0,1,1,0.7333608865737915,246,246,1.0,1.0,1.0,1.0,BGE-M3
TEST_0137,7,complex,deadline,family_law,1,1.0,1.0,1,1,0.6955291032791138,253,253,1.0,1.0,1.0,1.0,BGE-M3
TEST_0192,8,complex,definition,tax_law,0,0.25,0.43067655807339306,1,1,0.7461431622505188,413,925,0.0,0.0,1.0,1.0,BGE-M3
TEST_0130,9,complex,deadline,family_law,1,1.0,1.0,1,1,0.7326521873474121,245,245,1.0,1.0,1.0,1.0,BGE-M3
TEST_0163,10,complex,deadline,civil_law,1,1.0,1.0,1,1,0.7356168031692505,1036,1036,1.0,1.0,1.0,1.0,BGE-M3
TEST_0176,11,moderate,definition,civil_law,1,1.0,1.0,1,1,0.7180837988853455,477,477,1.0,1.0,1.0,1.0,BGE-M3
TEST_0185,12,complex,definition,civil_law,1,1.0,1.0,1,1,0.7857667207717896,334,334,1.0,1.0,1.0,1.0,BGE-M3
TEST_0186,13,complex,definition,civil_law,1,1.0,1.0,1,1,0.7194116115570068,335,335,1.0,1.0,1.0,1.0,BGE-M3
TEST_0082,14,complex,definition,tax_law,1,1.0,1.0,1,1,0.8083076477050781,644,644,1.0,1.0,1.0,1.0,BGE-M3
TEST_0224,15,complex,deadline,civil_law,0,0.0,0.0,1,1,0.7312013506889343,202,424,0.0,0.0,0.0,0.0,BGE-M3
TEST_0217,16,complex,deadline,civil_law,0,0.16666666666666666,0.3562071871080222,1,1,0.6855424046516418,1,733,0.0,0.0,0.0,1.0,BGE-M3
TEST_0084,17,complex,deadline,tax_law,1,1.0,1.0,1,1,0.7848866581916809,981,981,1.0,1.0,1.0,1.0,BGE-M3
TEST_0199,18,complex,definition,tax_law,0,0.5,0.6309297535714575,1,1,0.7565816044807434,188,933,0.0,1.0,1.0,1.0,BGE-M3
TEST_0240,19,simple,deadline,civil_law,1,1.0,1.0,1,1,0.7554851174354553,1041,1041,1.0,1.0,1.0,1.0,BGE-M3
TEST_0202,20,complex,definition,civil_law,1,1.0,1.0,1,1,0.7401098012924194,653,653,1.0,1.0,1.0,1.0,BGE-M3
TEST_0101,21,simple,deadline,administrative_law,0,0.0,0.0,1,1,0.5955581665039062,71,220,0.0,0.0,0.0,0.0,BGE-M3
TEST_0118,22,moderate,deadline,civil_law,1,1.0,1.0,1,1,0.7089688777923584,360,360,1.0,1.0,1.0,1.0,BGE-M3
TEST_0158,23,complex,deadline,civil_law,1,1.0,1.0,1,1,0.7491181492805481,380,380,1.0,1.0,1.0,1.0,BGE-M3
TEST_0100,24,simple,definition,administrative_law,0,0.14285714285714285,0.3333333333333333,1,1,0.67095947265625,40,51,0.0,0.0,0.0,1.0,BGE-M3
TEST_0011,25,moderate,deadline,labor_law,0,0.14285714285714285,0.3333333333333333,1,1,0.611400842666626,28,238,0.0,0.0,0.0,1.0,BGE-M3
TEST_0010,26,moderate,deadline,labor_law,0,0.14285714285714285,0.3333333333333333,1,1,0.6408363580703735,57,72,0.0,0.0,0.0,1.0,BGE-M3
TEST_0114,27,moderate,deadline,civil_law,0,0.0,0.0,0,0,0.6311105489730835,6,486,0.0,0.0,0.0,0.0,BGE-M3
TEST_0128,28,simple,definition,tax_law,1,1.0,1.0,1,1,0.6969780921936035,1023,1023,1.0,1.0,1.0,1.0,BGE-M3
TEST_0113,29,moderate,deadline,civil_law,1,1.0,1.0,1,1,0.6394559741020203,760,760,1.0,1.0,1.0,1.0,BGE-M3
TEST_0126,30,simple,deadline,tax_law,0,0.25,0.43067655807339306,1,1,0.7390637397766113,12,786,0.0,0.0,1.0,1.0,BGE-M3
TEST_0125,31,simple,definition,tax_law,1,1.0,1.0,1,1,0.741079568862915,481,481,1.0,1.0,1.0,1.0,BGE-M3
TEST_0121,32,simple,deadline,tax_law,1,1.0,1.0,1,1,0.7358721494674683,962,962,1.0,1.0,1.0,1.0,BGE-M3
TEST_0127,33,simple,deadline,tax_law,0,0.0,0.0,0,0,0.681247353553772,1,177,0.0,0.0,0.0,0.0,BGE-M3
TEST_0008,34,moderate,deadline,labor_law,0,0.25,0.43067655807339306,1,1,0.6219760775566101,32,95,0.0,0.0,1.0,1.0,BGE-M3
TEST_0007,35,moderate,deadline,labor_law,0,0.5,0.9199945798893454,1,1,0.6108496189117432,29,115,0.0,1.0,1.0,1.0,BGE-M3
TEST_0006,36,moderate,definition,labor_law,1,1.0,1.0,1,1,0.5997642278671265,52,52,1.0,1.0,1.0,1.0,BGE-M3
TEST_0002,37,simple,deadline,migration_law,1,1.0,1.0,1,1,0.7166683077812195,53,53,1.0,1.0,1.0,1.0,BGE-M3
TEST_0015,38,simple,deadline,family_law,0,0.3333333333333333,0.5,0,0,0.7759311199188232,1,64,0.0,1.0,1.0,1.0,BGE-M3
TEST_0014,39,simple,definition,family_law,1,1.0,1.0,1,1,0.6361644268035889,36,36,1.0,1.0,1.0,1.0,BGE-M3
TEST_0013,40,simple,deadline,family_law,0,0.0,0.0,1,1,0.7264934778213501,125,308,0.0,0.0,0.0,0.0,BGE-M3
TEST_0012,41,moderate,deadline,labor_law,0,0.25,0.43067655807339306,1,1,0.678506076335907,71,86,0.0,0.0,1.0,1.0,BGE-M3
TEST_0032,42,moderate,deadline,other,1,1.0,1.0,1,1,0.6350324153900146,849,849,1.0,1.0,1.0,1.0,BGE-M3
TEST_0009,43,moderate,deadline,labor_law,0,0.125,0.31546487678572877,1,1,0.7027414441108704,11,80,0.0,0.0,0.0,1.0,BGE-M3
TEST_0023,44,simple,deadline,other,0,0.0,0.0,1,1,0.6893978118896484,107,78,0.0,0.0,0.0,0.0,BGE-M3
TEST_0022,45,simple,deadline,other,0,0.16666666666666666,0.3562071871080222,1,1,0.6745601296424866,40,34,0.0,0.0,0.0,1.0,BGE-M3
TEST_0021,46,simple,deadline,family_law,0,0.0,0.0,1,1,0.7134541273117065,7,74,0.0,0.0,0.0,0.0,BGE-M3
TEST_0020,47,simple,deadline,family_law,0,0.1,0.2890648263178879,1,1,0.6700856685638428,70,55,0.0,0.0,0.0,1.0,BGE-M3
TEST_0018,48,simple,deadline,family_law,1,1.0,1.0,1,1,0.696452796459198,44,44,1.0,1.0,1.0,1.0,BGE-M3
TEST_0017,49,simple,deadline,family_law,0,0.0,0.0,0,0,0.7597315907478333,2,463,0.0,0.0,0.0,0.0,BGE-M3
TEST_0028,50,simple,deadline,other,0,0.0,0.0,0,0,0.6657273769378662,97,441,0.0,0.0,0.0,0.0,BGE-M3
TEST_0031,51,moderate,deadline,other,0,0.5,0.6309297535714575,1,1,0.6687794327735901,121,75,0.0,1.0,1.0,1.0,BGE-M3
TEST_0030,52,moderate,deadline,other,0,0.1111111111111111,0.3010299956639812,1,1,0.6982917785644531,41,507,0.0,0.0,0.0,1.0,BGE-M3
TEST_0029,53,moderate,definition,other,1,1.0,1.0,1,1,0.6579231023788452,373,373,1.0,1.0,1.0,1.0,BGE-M3
TEST_0026,54,simple,deadline,other,1,1.0,1.0,1,1,0.6426223516464233,103,103,1.0,1.0,1.0,1.0,BGE-M3
TEST_0027,55,simple,deadline,other,0,0.5,0.6309297535714575,1,1,0.7468572854995728,32,94,0.0,1.0,1.0,1.0,BGE-M3
TEST_0025,56,simple,deadline,other,1,1.0,1.0,1,1,0.698074996471405,82,82,1.0,1.0,1.0,1.0,BGE-M3
