system,model_id,backend,setting,language,row_id,question,gold_answer,gold_chunk_id,generated_answer,judge_legal_correctness,judge_evidence_support,judge_completeness,judge_clarity,judge_hallucination
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,0,Жер учаскесін заңсыз пайдаланған жағдайда төлемақы сомасы қанша уақыттан кейін ұлғайтылады?,Жазбаша нұсқама табыс етілген күннен бастап төлемақы сомасы он есеге ұлғайтылады.,788,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b3e-5ddc00f002a67fe36ce5d516;209784c9-f1aa-4b00-bad2-21b20340246a)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,1,KAZAKH INVEST агенттігі инвестиция тарту үшін қандай тәсілдерді қолданады?,"KAZAKH INVEST агенттігі инвестиция тарту үшін нарық үрдістерін қадағалап, перспективалы тауашаларды айқындау, білікті мамандардың командасын құру және қолайлы іскерлік орта жасау сияқты тәсілдерді қолданады.",32,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b3e-41b880af20a3df9514b92976;36c67707-9ddf-482e-b06c-4fabf3dbf5b5)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,2,Уранды барлауға арналған келісімшарт мерзімін ұзарту үшін қандай құжаттар қажет?,"Ұзарту туралы өтінішке ұзарту кезеңіндегі жұмыстар мен шығыстардың жазбаша негіздемесі, уран кен орнының табылғанын растайтын мәліметтер және географиялық координаттар қоса берілуі керек.",413,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b3e-4e4c76b53f00aafa77b4480e;d25ec299-369f-491b-8193-63047f66d5e3)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,3,Жер қойнауы учаскесін сенімгерлік басқару шарты қанша уақытқа жасалады?,Жер қойнауы учаскесін сенімгерлік басқару шарты он жылдан аспайтын мерзімге жасалады.,273,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b3f-76943bc0636f629e3d243633;23ce4514-632c-421b-8a43-a1f2b9424b07)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,4,Жер қойнауын пайдалануға арналған келісімшарттарға қандай ережелер қолданылады?,Жер қойнауын пайдалануға арналған келісімшарттарға ҚР 2017 № 125-VI Кодексі қолданысқа енгізілгенге дейін жасалған келісімшарттар бойынша тиісті қатынастарға қатысты ережелер қолданылады.,538,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b3f-7eef9d10510417d65d4534b1;699639d3-e93d-44d3-a1d4-26dbf0d593b8)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,5,Қазақстандағы жұмыстар мен қызметтердің қазақстандық өндірушілері деп кімдер танылады?,Қазақстан Республикасының аумағында орналасқан және жұмыскерлердің жалпы санынан кемінде тоқсан бес пайызын Қазақстан Республикасы азаматтары құрайтын дара кәсіпкерлер және (немесе) заңды тұлғалар танылады.,332,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b3f-29da5816789fea9e7b8c2d94;547ea586-cbc8-4837-b2d4-700a73c58a78)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,6,Көмірсутектер бойынша барлау жұмыстарының жобасына мемлекеттік сараптама қанша уақыт ішінде жүргізіледі?,Барлау жұмыстарының жобасына мемлекеттік сараптама оны жер қойнауын пайдаланушыдан алған күннен бастап екі ай ішінде жүргізіледі.,246,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b40-467063bf41bf6a5618b74f57;ea4ccfcc-ae0c-4864-b25f-834120b62d01)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,7,Кен орнын сынамалап пайдалану кезінде шикі газды жағуға рұқсат етілетін мерзім қандай?,Кен орнын сынамалап пайдалану кезінде үш жылдан аспайтын жалпы мерзімге шикі газды жағуға рұқсат берілуі мүмкін.,253,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b40-57161d7a03edfb3130acc302;2e953464-5d21-4c13-a1e3-71d5e9bb6806)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,8,Кірістерді түзету қандай жағдайларда жүргізіледі?,"Кірістерді түзету тауарлар қайтарылғанда, мәміле шарттары өзгертілгенде, бағалар өзгертілгенде, заңды тұлғадан талапты есептен шығарғанда және басқа да осы бапта көрсетілген жағдайларда жүргізіледі.",925,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b40-6e370ebb3447c9791d378598;dfede2d5-3e2b-4ad3-846f-3dcf501d007d)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,9,Көмірсутектер бойынша жер қойнауын пайдалану саласындағы жобалау құжаттарына өзгерістер енгізу туралы заң қашан күшіне енеді?,ҚР 2023 Заңымен алғашқы ресми жарияланған күнінен кейін күнтізбелік алпыс күн өткен соң қолданысқа енеді.,245,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b41-4e877037773c34d044309af7;85b9cfb9-6e47-4072-be19-bec7fae4869f)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,10,Жер қойнауын пайдалануға баламалы салықты есептеу кезінде шегерімдер қанша жылға ауыстырылады?,Кейінгі қоса алғандағы он жылға.,1036,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b41-367ac80a01ee9825471aa0ad;c54e2489-5e89-4242-bcae-9caa1b82cff6)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,11,Орталық комиссияның негізгі міндеті қандай?,Пайдалы қазбалардың кен орындарын және жерасты суларын барлау мен игерудің анағұрлым тиімді әдістерін қолдануды қамтамасыз ету.,477,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b42-577ffe6f276772346dde8b6f;50701aec-3525-40f6-bbe6-8b9791a10c85)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,12,Жер қойнауын пайдаланушының пайдалы қатты қазбаларды өндіру кезіндегі есептілігі қандай мерзімде ұсынылады?,Есептер жыл сайын алдыңғы күнтізбелік жыл үшін әрбір жылдың отызыншы сәуірінен кешіктірілмей ұсынылады.,334,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b42-03b9408a4c428b2371a1d265;16d974cd-2ea6-471b-9e0f-ca766f8e0faa)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,13,Тау-кен жұмыстарының жоспары дегеніміз не?,Тау-кен жұмыстарының жоспары - пайдалы қатты қазбаларды өндіру жөніндегі операцияларды жүргізуге арналған жобалау құжаты.,335,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b42-103445661bbc4fdf17d95cfe;3720e90f-f06b-4db9-8bda-5f731e2f4036)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,14,Қосылған құн салығының асып кетуін қайтару мерзімі қандай?,"Нөлдік мөлшерлеме бойынша салық салынатын өткізу бойынша айналымдарды жүзеге асыратын салық төлеушіге – елу бес жұмыс күні ішінде, қалған жағдайларда – жетпіс бес жұмыс күні ішінде қайтарылады.",644,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b43-5717edbf73931ef472aa420f;40f400a9-e8f7-4e34-a4b2-1c2f5aebd46b)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
KazLLM-1.0-8B,issai/LLama-3.1-KazLLM-1.0-8B,hf,LLM-only,kz,15,Жер қойнауын пайдаланушы жер қойнауы учаскесін азайту туралы өтінішке қандай құжаттарды қоса беруі керек?,"Жер қойнауын пайдаланушы бекіткен және осы Кодекс пен Қазақстан Республикасының өзге де заңдарында көзделген сараптамалардың оң қорытындыларын алған, жер қойнауы учаскесін азайтуға байланысты барлау жұмыстарының жобасына толықтыру қоса берілуі керек.",424,"GEN_FAILED: OSError: You are trying to access a gated repo.
Make sure to have access to it at https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B.
401 Client Error. (Request ID: Root=1-6a337b43-57ff4eb31e89eb6b0bb1a050;a99f1b3f-3933-4f85-b034-c82071bb88db)

Cannot access gated repo for url https://huggingface.co/issai/LLama-3.1-KazLLM-1.0-8B/resolve/main/config.json.
Access to model issai/LLama-3.1-KazLLM-1.0-8B is restricted. You must have access to it and be authenticated to access it. Please log in.",,,,,
