system,setting,row_id,answerability,failed,abstained,gen_len,EM,F1,chrf,rouge_l
KazLLM-1.0-8B,LLM-only,0,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,1,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,2,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,3,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,4,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,5,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,6,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,7,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,8,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,9,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,10,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,11,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,12,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,13,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,14,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,15,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,16,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,17,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,18,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,19,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,20,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,21,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,22,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,23,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,24,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,25,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,26,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,27,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,28,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,29,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,30,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,31,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,32,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,33,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,34,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,35,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,36,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,37,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,38,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,39,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,40,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,41,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,42,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,43,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,44,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,45,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,46,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,47,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,48,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,49,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,50,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,51,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,52,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,53,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,54,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,55,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,56,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,57,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,58,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,59,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,60,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,61,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,62,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,63,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,64,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,65,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,66,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,67,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,68,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,69,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,70,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,71,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,72,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,73,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,74,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,75,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,76,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,77,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,78,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,79,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,80,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,81,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,82,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,83,answerable,1,1,53,,,,
KazLLM-1.0-8B,LLM-only,84,answerable,1,1,53,,,,
