system,model_id,backend,setting,language,row_id,question,gold_answer,gold_chunk_id,generated_answer,answerability,EM,F1,chrf,rouge_l,abstained,semantic_sim,judge_legal_correctness,judge_evidence_support,judge_completeness,judge_clarity,judge_hallucination
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,0,Жер учаскесін заңсыз пайдаланған жағдайда төлемақы сомасы қанша уақыттан кейін ұлғайтылады?,Жазбаша нұсқама табыс етілген күннен бастап төлемақы сомасы он есеге ұлғайтылады.,788,"Қазақстан Республикасының Жер кодексінің 147-бабына сәйкес, жер учаскесін заңсыз пайдаланған жағдайда төлемақы сомасы жер учаскесін заңсыз пайдаланғаны анықталған күннен бастап үш ай өткен соң ұлғайтылады.

Яғни, **3 айдан кейін** төлемақы сомасы ұлғайтылады.",answerable,0.0,0.2325581395348837,35.59209312881851,0.2325581395348837,0.0,0.6382193565368652,0.0,0.0,0.0,2.0,2.0
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,1,KAZAKH INVEST агенттігі инвестиция тарту үшін қандай тәсілдерді қолданады?,"KAZAKH INVEST агенттігі инвестиция тарту үшін нарық үрдістерін қадағалап, перспективалы тауашаларды айқындау, білікті мамандардың командасын құру және қолайлы іскерлік орта жасау сияқты тәсілдерді қолданады.",32,"KAZAKH INVEST ұлттық компаниясы инвестиция тарту үшін келесі негізгі тәсілдерді қолданады:

1. **Инвестициялық жобаларды сүйемелдеу:** Инвесторларға ""бір терезе"" қағидаты бойынша қызмет көрсетеді, яғни рұқсаттар мен келісімдерді алуға, әкімшілік кедергілерді шешуге көмектеседі.

2. **Инвестициялық ұсыныстарды әзірлеу:** Қазақстанның өңірлері мен салалары бойынша дайын инвестициялық жобалар пакетін дайындайды және ұсынады.

3. **Инвесторларды ақпаратпен қамтамасыз ету:** Қазақстандағы инвестициялық ахуал, заңнама, жеңілдіктер мен преференциялар туралы толық ақпарат береді.

4. **Инвестициялық форумдар мен роуд-шоулар ұйымдастыру:** Халықаралық және өңірлік деңгейде форумдар, көрмелер, бизнес кездесулер өткізіп, шетелдік инвесторлармен тікелей байланыс орнатады.

5. **Инвесторлардың құқықтарын қорғау:** Инвесторлардың құқықтары бұзылған жағдайда мемлекеттік органдармен және басқа да ұйымдармен өзара іс-қимыл жасайды.

6. **Мемлекеттік қолдау шараларын түсіндіру:** Инвесторларға салықтық, кедендік және басқа да жеңілдіктер туралы кеңес береді.

Бұл тәсілдер KAZAKH INVEST агенттігінің ресми сайтында және Қазақстан Республикасының заңнамасында көрсетілген.",answerable,0.0,0.10596026490066225,25.34507916565379,0.09271523178807947,0.0,0.7791872024536133,,,,,
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,2,Уранды барлауға арналған келісімшарт мерзімін ұзарту үшін қандай құжаттар қажет?,"Ұзарту туралы өтінішке ұзарту кезеңіндегі жұмыстар мен шығыстардың жазбаша негіздемесі, уран кен орнының табылғанын растайтын мәліметтер және географиялық координаттар қоса берілуі керек.",413,"Уранды барлауға арналған келісімшарт мерзімін ұзарту үшін Қазақстан Республикасының ""Жер қойнауы және жер қойнауын пайдалану туралы"" Кодексіне (2017 жылғы 27 желтоқсандағы № 125-VI ҚРЗ) сәйкес келесі құжаттар қажет:

1. **Өтініш** (мерзімді ұзарту туралы);
2. **Келісімшартқа өзгерістер енгізу туралы негіздеме** (уәждемелік хат, мерзімді ұзартудың себептері көрсетіледі);
3. **Барлау жұмыстарының орындалу барысы туралы есеп** (жұмыстардың орындалғаны туралы есеп, инвестициялық міндеттемелердің орындалуы туралы мәліметтер);
4. **Жер қойнауын пайдалану құқығын растайтын құжаттар** (қолданыстағы келісімшарттың көшірмесі);
5. **Қаржылық және техникалық мүмкіндіктерді растайтын құжаттар** (қаржылық есеп, техника мен жабдықтар туралы мәліметтер);
6. **Экологиялық рұқсаттар** (қажет болған жағдайда);
7. **Уәкілетті орган белгілеген өзге де құжаттар** (уәкілетті органның талаптарына байланысты қосымша құжаттар сұралуы мүмкін).

**Маңызды:** Құжаттардың нақты тізімі уәкілетті органның (Қазақстан Республикасы Энергетика министрлігі немесе ""Жер қойнауын пайдалану жөніндегі ұлттық компания"" – ""Қазатомөнеркәсіп"" АҚ) талаптарына және келісімшарттың шарттарына байланысты өзгеруі мүмкін. Сондықтан, нақты жағдайыңызға байланысты уәкілетті органға ресми сұраныс жіберу ұсынылады.

**Қорытынды:**  
Жоғарыда көрсетілген құжаттар жалпы талаптарға сәйкес келеді, бірақ нақты тізімді уәкілетті органнан нақтылау қажет.",answerable,0.0,0.07777777777777778,18.72167640754491,0.06666666666666667,0.0,0.7625988721847534,,,,,
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,3,Жер қойнауы учаскесін сенімгерлік басқару шарты қанша уақытқа жасалады?,Жер қойнауы учаскесін сенімгерлік басқару шарты он жылдан аспайтын мерзімге жасалады.,273,"Қазақстан Республикасының заңнамасына сәйкес, Жер қойнауы және жер қойнауын пайдалану туралы Кодекстің (2017 жылғы 27 желтоқсандағы № 125-VI ҚРЗ) 134-бабының 2-тармағына сәйкес, жер қойнауы учаскесін сенімгерлік басқару шарты бес жылдан аспайтын мерзімге жасалады.

**Дереккөз:**  
Қазақстан Республикасының Жер қойнауы және жер қойнауын пайдалану туралы Кодексі, 134-бап, 2-тармақ.

**Жауап:**  
Жер қойнауы учаскесін сенімгерлік басқару шарты бес жылдан аспайтын мерзімге жасалады.",answerable,0.0,0.2898550724637681,47.106689421213595,0.2898550724637681,0.0,0.8454110622406006,,,,,
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,4,Жер қойнауын пайдалануға арналған келісімшарттарға қандай ережелер қолданылады?,Жер қойнауын пайдалануға арналған келісімшарттарға ҚР 2017 № 125-VI Кодексі қолданысқа енгізілгенге дейін жасалған келісімшарттар бойынша тиісті қатынастарға қатысты ережелер қолданылады.,538,"Жауап:

Қазақстан Республикасының заңнамасына сәйкес, жер қойнауын пайдалануға арналған келісімшарттарға негізінен «Жер қойнауы және жер қойнауын пайдалану туралы» Қазақстан Республикасының 2017 жылғы 27 желтоқсандағы Кодексінің (Жер қойнауы туралы кодекс) ережелері қолданылады.

Нақтырақ айтқанда:

- Келісімшарттар жер қойнауын пайдалану құқығын беру, пайдалану тәртібі, тараптардың құқықтары мен міндеттері, төлемдер, қоршаған ортаны қорғау, жергілікті мазмұн, дауларды шешу және келісімшартты бұзу шарттарын қамтуы тиіс (Кодекстің 82-бабы және басқа да баптары).
- Келісімшарттарда Қазақстан Республикасының заңнамасына қайшы келмейтін қосымша талаптар мен шарттар көзделуі мүмкін.
- Егер халықаралық шартта өзгеше көзделмесе, Қазақстан Республикасының заңнамасы қолданылады.
- Келісімшарттар мемлекеттік тіркеуге жатады және олардың орындалуын мемлекеттік органдар бақылайды.

Егер нақты келісімшарт түрі (мысалы, барлау, өндіру, сервистік қызметтер) туралы сұрақ болса, қосымша нақтылау қажет.

**Қорытынды:** Жер қойнауын пайдалануға арналған келісімшарттарға Жер қойнауы туралы кодекстің және Қазақстан Республикасының басқа да заңнамалық актілерінің ережелері қолданылады.",answerable,0.0,0.10596026490066225,27.334377490832807,0.10596026490066225,0.0,0.8358542323112488,,,,,
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,5,Қазақстандағы жұмыстар мен қызметтердің қазақстандық өндірушілері деп кімдер танылады?,Қазақстан Республикасының аумағында орналасқан және жұмыскерлердің жалпы санынан кемінде тоқсан бес пайызын Қазақстан Республикасы азаматтары құрайтын дара кәсіпкерлер және (немесе) заңды тұлғалар танылады.,332,"Қазақстан Республикасының заңнамасына сәйкес, жұмыстар мен қызметтердің қазақстандық өндірушілері деп Қазақстан Республикасының аумағында жұмыстарды орындайтын және (немесе) қызметтерді көрсететін Қазақстан Республикасының заңды тұлғалары, олардың филиалдары мен өкілдіктері, сондай-ақ Қазақстан Республикасының азаматтары танылады.

Бұл анықтама ""Мемлекеттік сатып алу туралы"" Қазақстан Республикасының 2015 жылғы 4 желтоқсандағы № 434-V Заңының 3-бабының 22) тармақшасында берілген.

Яғни, Қазақстан аумағында тіркелген және жұмыстарды орындайтын немесе қызметтерді көрсететін заңды тұлғалар мен жеке кәсіпкерлер қазақстандық өндірушілер болып саналады.",answerable,0.0,0.2580645161290323,42.60758586441411,0.2150537634408602,0.0,0.7349475622177124,,,,,
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,6,Көмірсутектер бойынша барлау жұмыстарының жобасына мемлекеттік сараптама қанша уақыт ішінде жүргізіледі?,Барлау жұмыстарының жобасына мемлекеттік сараптама оны жер қойнауын пайдаланушыдан алған күннен бастап екі ай ішінде жүргізіледі.,246,"Қазақстан Республикасының ""Жер қойнауы және жер қойнауын пайдалану туралы"" Кодексінің 144-бабының 3-тармағына сәйкес, көмірсутектер бойынша барлау жұмыстарының жобасына мемлекеттік сараптама **екі ай** (2 ай) мерзімде жүргізіледі.

**Дереккөз:**  
Қазақстан Республикасының 2017 жылғы 27 желтоқсандағы № 125-VI ҚРЗ ""Жер қойнауы және жер қойнауын пайдалану туралы"" Кодексі, 144-бап, 3-тармақ.",answerable,0.0,0.3225806451612903,45.677667221045716,0.25806451612903225,0.0,0.8141928911209106,,,,,
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,7,Кен орнын сынамалап пайдалану кезінде шикі газды жағуға рұқсат етілетін мерзім қандай?,Кен орнын сынамалап пайдалану кезінде үш жылдан аспайтын жалпы мерзімге шикі газды жағуға рұқсат берілуі мүмкін.,253,"Қазақстан Республикасының ""Жер қойнауы және жер қойнауын пайдалану туралы"" Кодексіне (2017 жылғы 27 желтоқсандағы № 125-VI ҚРЗ) сәйкес, кен орнын сынамалап пайдалану кезінде шикі газды жағуға рұқсат етілетін мерзім 1 (бір) жылнан аспауға тиіс.

Бұл талап ҚР Энергетика министрінің 2018 жылғы 30 наурыздағы № 128 бұйрығымен бекітілген ""Көмірсутектерді барлау және өндіру кезінде ілеспе және табиғи газды жағуға рұқсат беру қағидаларында"" да көрсетілген.

Яғни, сынамалап пайдалану кезінде шикі газды жағуға рұқсат етілетін мерзім – 1 жыл.",answerable,0.0,0.19780219780219782,35.808031284104565,0.19780219780219782,0.0,0.8163464665412903,,,,,
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,8,Кірістерді түзету қандай жағдайларда жүргізіледі?,"Кірістерді түзету тауарлар қайтарылғанда, мәміле шарттары өзгертілгенде, бағалар өзгертілгенде, заңды тұлғадан талапты есептен шығарғанда және басқа да осы бапта көрсетілген жағдайларда жүргізіледі.",925,"Кірістерді түзету келесі жағдайларда жүргізіледі:

1. **Қате анықталған кезде** – Бұрын есепке алынған кірістерде қате табылса (мысалы, сомасы дұрыс көрсетілмесе немесе кіріс мүлде дұрыс емес есептелсе), түзету жасалады.
2. **Кірістерді қайтару немесе жою** – Егер сатып алушы тауарды қайтарса немесе қызмет көрсетілмесе, бұрын танылған кіріс сомасы азайтылады немесе жойылады.
3. **Келісімшарт шарттары өзгергенде** – Егер кіріс тану шарттары өзгерсе (мысалы, баға, жеткізу мерзімі), кірістер қайта есептеледі.
4. **Салықтық тексеру нәтижесінде** – Салық органдарының тексеруі барысында кірістердің дұрыс көрсетілмегені анықталса, түзету енгізіледі.
5. **Халықаралық немесе ұлттық есеп стандарттарына сәйкес** – Қаржылық есептіліктің халықаралық (IFRS) немесе ұлттық стандарттарына сәйкес кірістерді тану талаптары өзгерсе, түзету жүргізіледі.

**Негіз:** Қазақстан Республикасының бухгалтерлік есеп және қаржылық есептілік туралы заңнамасы, сондай-ақ Салық кодексі.

Егер нақты жағдайыңызды көрсетсеңіз, толық жауап бере аламын.",answerable,0.0,0.0821917808219178,26.628211275044023,0.0547945205479452,0.0,0.8297501802444458,,,,,
GPT-4.1 (LLM-only),gpt-4.1,openai,LLM-only,kz,9,Көмірсутектер бойынша жер қойнауын пайдалану саласындағы жобалау құжаттарына өзгерістер енгізу туралы заң қашан күшіне енеді?,ҚР 2023 Заңымен алғашқы ресми жарияланған күнінен кейін күнтізбелік алпыс күн өткен соң қолданысқа енеді.,245,"Көмірсутектер бойынша жер қойнауын пайдалану саласындағы жобалау құжаттарына өзгерістер енгізу туралы заңның күшіне ену мерзімі нақты қай заң немесе нормативтік акті туралы сұрап отырғаныңызға байланысты.

Егер сіз Қазақстан Республикасының ""Жер қойнауы және жер қойнауын пайдалану туралы"" Кодексіне немесе оған енгізілген өзгерістерге қатысты сұрап отырсаңыз, заңдар мен өзгерістердің күшіне ену мерзімі әрқашан сол заңның соңғы баптарында (әдетте ""Осы заң ресми жарияланған күнінен бастап күшіне енеді"" немесе нақты күн көрсетіледі) жазылады.

Мысалы, 2023 жылғы 30 желтоқсанда қабылданған ""Қазақстан Республикасының кейбір заңнамалық актілеріне жер қойнауын пайдалану мәселелері бойынша өзгерістер мен толықтырулар енгізу туралы"" Заңы 2024 жылғы 1 қаңтардан бастап күшіне енді.

**Дегенмен, нақты қай заң немесе өзгеріс туралы сұрап отырғаныңызды көрсетпегендіктен, нақты жауап беру мүмкін емес.**  
Толығырақ ақпарат берсеңіз, нақты заңның күшіне ену мерзімін анықтап бере аламын.",answerable,0.0,0.08633093525179855,16.408908171100464,0.05755395683453237,1.0,0.6610286235809326,,,,,
