question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10,System
TEST_0210,0,complex,deadline,tax_law,0,0.25,0.43067655807339306,1,1,25.55407211688781,128,788,0.0,0.0,1.0,1.0,Naive RAG
TEST_0056,1,moderate,definition,migration_law,0,0.5,0.6309297535714575,1,1,42.72377680151477,41,32,0.0,1.0,1.0,1.0,Naive RAG
TEST_0235,2,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,43.95256318553197,4,413,0.0,1.0,1.0,1.0,Naive RAG
TEST_0227,3,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,45.57707898279953,195,273,0.0,1.0,1.0,1.0,Naive RAG
TEST_0237,4,complex,definition,civil_law,0,0.2,0.38685280723454163,1,1,33.02453355984463,19,538,0.0,0.0,1.0,1.0,Naive RAG
TEST_0057,5,moderate,definition,migration_law,1,1.0,1.0,1,1,31.71376419512304,332,332,1.0,1.0,1.0,1.0,Naive RAG
TEST_0142,6,moderate,deadline,family_law,0,0.5,0.6309297535714575,1,1,37.61433741256588,243,246,0.0,1.0,1.0,1.0,Naive RAG
TEST_0137,7,complex,deadline,family_law,1,1.0,1.0,1,1,65.30730665445051,253,253,1.0,1.0,1.0,1.0,Naive RAG
TEST_0192,8,complex,definition,tax_law,0,0.0,0.0,1,1,14.987564717707242,419,925,0.0,0.0,0.0,0.0,Naive RAG
TEST_0130,9,complex,deadline,family_law,0,0.2,0.38685280723454163,1,1,53.54774569950569,242,245,0.0,0.0,1.0,1.0,Naive RAG
TEST_0163,10,complex,deadline,civil_law,1,1.0,1.0,1,1,59.996475000470184,1036,1036,1.0,1.0,1.0,1.0,Naive RAG
TEST_0176,11,moderate,definition,civil_law,0,0.3333333333333333,0.5,1,1,16.956538069980937,23,477,0.0,1.0,1.0,1.0,Naive RAG
TEST_0185,12,complex,definition,civil_law,0,0.0,0.0,1,1,51.45662953571123,330,334,0.0,0.0,0.0,0.0,Naive RAG
TEST_0186,13,complex,definition,civil_law,1,1.0,1.0,1,1,29.623512813906412,335,335,1.0,1.0,1.0,1.0,Naive RAG
TEST_0082,14,complex,definition,tax_law,0,0.0,0.0,1,1,57.84493681203002,647,644,0.0,0.0,0.0,0.0,Naive RAG
TEST_0224,15,complex,deadline,civil_law,1,1.0,1.0,1,1,55.78812154280053,424,424,1.0,1.0,1.0,1.0,Naive RAG
TEST_0217,16,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,20.387086473881325,0,733,0.0,1.0,1.0,1.0,Naive RAG
TEST_0084,17,complex,deadline,tax_law,1,1.0,1.0,1,1,46.75380885302594,981,981,1.0,1.0,1.0,1.0,Naive RAG
TEST_0199,18,complex,definition,tax_law,0,0.5,0.6309297535714575,1,1,48.715083993263015,932,933,0.0,1.0,1.0,1.0,Naive RAG
TEST_0240,19,simple,deadline,civil_law,1,1.0,1.0,1,1,78.7166442089025,1041,1041,1.0,1.0,1.0,1.0,Naive RAG
TEST_0202,20,complex,definition,civil_law,1,1.0,1.0,1,1,62.77371542270893,653,653,1.0,1.0,1.0,1.0,Naive RAG
TEST_0101,21,simple,deadline,administrative_law,0,0.0,0.0,1,0,20.196108418611527,117,220,0.0,0.0,0.0,0.0,Naive RAG
TEST_0118,22,moderate,deadline,civil_law,1,1.0,1.0,1,1,39.778190802335494,360,360,1.0,1.0,1.0,1.0,Naive RAG
TEST_0158,23,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,41.70781007506106,377,380,0.0,0.0,1.0,1.0,Naive RAG
TEST_0100,24,simple,definition,administrative_law,1,1.0,1.0,1,1,39.71542782123267,51,51,1.0,1.0,1.0,1.0,Naive RAG
TEST_0011,25,moderate,deadline,labor_law,0,0.25,0.43067655807339306,1,1,46.908255902338205,285,238,0.0,0.0,1.0,1.0,Naive RAG
