question_id,row_id,complexity,question_type,legal_domain,Hit@1,MRR@10,nDCG@10,DocRecall@10,SourceRecall@10,TopScore,TopChunk,GoldChunk,Recall@1,Recall@3,Recall@5,Recall@10,System
TEST_0210,0,complex,deadline,tax_law,0,0.25,0.43067655807339306,1,1,25.553932546610383,128,788,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0056,1,moderate,definition,migration_law,0,0.5,0.6309297535714575,1,1,42.723639874899874,41,32,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0235,2,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,43.95244755049483,4,413,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0227,3,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,45.57707898279953,195,273,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0237,4,complex,definition,civil_law,0,0.2,0.38685280723454163,1,1,33.02453355984463,19,538,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0057,5,moderate,definition,migration_law,1,1.0,1.0,1,1,31.71091590758432,332,332,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0142,6,moderate,deadline,family_law,0,0.5,0.6309297535714575,1,1,37.613977698947025,243,246,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0137,7,complex,deadline,family_law,1,1.0,1.0,1,1,64.88823494954508,253,253,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0192,8,complex,definition,tax_law,0,0.0,0.0,1,1,14.984712636013635,419,925,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0130,9,complex,deadline,family_law,0,0.2,0.38685280723454163,1,1,53.547374682622696,242,245,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0163,10,complex,deadline,civil_law,1,1.0,1.0,1,1,59.99637438739494,1036,1036,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0176,11,moderate,definition,civil_law,0,0.3333333333333333,0.5,1,1,16.95601442749534,23,477,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0185,12,complex,definition,civil_law,0,0.125,0.31546487678572877,1,1,51.45464491329834,330,334,0.0,0.0,0.0,1.0,BM25-fold Kazakh characters
TEST_0186,13,complex,definition,civil_law,1,1.0,1.0,1,1,29.623512813906412,335,335,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0082,14,complex,definition,tax_law,0,0.0,0.0,1,1,50.7786527923889,647,644,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0224,15,complex,deadline,civil_law,1,1.0,1.0,1,1,55.787528367323894,424,424,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0217,16,complex,deadline,civil_law,0,0.5,0.6309297535714575,1,1,20.386572479390615,0,733,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0084,17,complex,deadline,tax_law,1,1.0,1.0,1,1,46.75380885302594,981,981,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0199,18,complex,definition,tax_law,0,0.3333333333333333,0.5,1,1,48.56973211510905,932,933,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0240,19,simple,deadline,civil_law,1,1.0,1.0,1,1,78.71622529731009,1041,1041,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0202,20,complex,definition,civil_law,1,1.0,1.0,1,1,57.013191277640665,653,653,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0101,21,simple,deadline,administrative_law,0,0.0,0.0,1,0,20.196108418611527,117,220,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0118,22,moderate,deadline,civil_law,1,1.0,1.0,1,1,39.69612254819286,360,360,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0158,23,complex,deadline,civil_law,0,0.25,0.43067655807339306,1,1,40.614581837168004,377,380,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0100,24,simple,definition,administrative_law,1,1.0,1.0,1,1,39.71272854258159,51,51,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0011,25,moderate,deadline,labor_law,0,0.25,0.43067655807339306,1,1,46.90784243478196,285,238,0.0,0.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0010,26,moderate,deadline,labor_law,0,0.0,0.0,1,1,29.836866306774873,57,72,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0114,27,moderate,deadline,civil_law,1,1.0,1.0,1,1,32.315226506666455,486,486,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0128,28,simple,definition,tax_law,1,1.0,1.0,1,1,54.161801649020525,1023,1023,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0113,29,moderate,deadline,civil_law,0,0.0,0.0,0,0,14.706955497970707,463,760,0.0,0.0,0.0,0.0,BM25-fold Kazakh characters
TEST_0126,30,simple,deadline,tax_law,1,1.0,1.0,1,1,38.881307201907696,786,786,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0125,31,simple,definition,tax_law,1,1.0,1.0,1,1,78.84562170608919,481,481,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0121,32,simple,deadline,tax_law,0,0.5,0.6309297535714575,1,1,57.40945137729902,958,962,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0127,33,simple,deadline,tax_law,1,1.0,1.0,1,1,61.48546023929826,177,177,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0008,34,moderate,deadline,labor_law,1,1.0,1.0,1,1,33.60238972194895,95,95,1.0,1.0,1.0,1.0,BM25-fold Kazakh characters
TEST_0007,35,moderate,deadline,labor_law,0,0.5,0.6309297535714575,1,1,41.86815697984245,53,115,0.0,1.0,1.0,1.0,BM25-fold Kazakh characters
